seller-name,seller-type,layout_type,property_type,projName,location,val 2,unit,area,val 4,possession,number of bedrooms
Nature Realty,AGENT,BHK,Apartment,Reputed Builder Blue Ridge Tower B6,Hinjewadi,91.37,L,"7,257 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,Reputed Builder Blue Ridge Tower B6,Hinjewadi,66.38,L,"6,604 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,Reputed Builder Blue Ridge Tower B6,Hinjewadi,60.37,L,"6,037 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,Reputed Builder Blue Ridge Tower B6,Hinjewadi,41.37,L,"6,083 / sq ft",Ready to move,East facing,1 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,Reputed Builder Blue Ridge Tower B6,Hinjewadi,91.37,L,"7,257 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,55.28,L,"5,764 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,Rohan Prathama,Hinjewadi,55.28,L,"5,887 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,40.27,L,"6,138 / sq ft",Ready to move,New,1 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,81.36,L,"6,848 / sq ft",Ready to move,New,3 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,74.26,L,"6,298 / sq ft",Ready to move,New,3 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,68.36,L,"6,554 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,56.38,L,"6,055 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,61.38,L,"6,288 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,Vilas Yashone Hinjawadi Phase II,Hinjewadi,66.39,L,"5,788 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Hinjewadi Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,53.27,L,"5,821 / sq ft",Ready to move,New,2 BHK Property for Sale in Hinjawadi Village Pune
Nature Realty,AGENT,BHK,Apartment,,Hinjawadi Village,63.28,L,"5,408 / sq ft",Ready to move,New,3 BHK Property for Sale in Hinjawadi Village Pune
Dwell Home Solustions,AGENT,BHK,Apartment,Kakkad Bella Casa,Ambegaon Budruk,55.89,L,"5,645 / sq ft",Under Construction,Possession by Nov 2026,2 BHK Property for Sale in Ambegaon Budruk Pune
Prop Wisdom,AGENT,BHK,Apartment,,Bavdhan,65,L,"6,190 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Bavdhan Pune
NiNE STAR PROPERTIES,AGENT,BHK,Apartment,Sukhwani Artize,Ravet,51.39,L,"5,233 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Ravet Pune
Subrato Raha,AGENT,BHK,Apartment,Pharande Puneville Phase III Cluster A,Tathawade,1.1,Cr,"9,446 / sq ft",Under Construction,Possession by May 2028,3 BHK Property for Sale in Tathawade Pune
Subrato Raha,AGENT,BHK,Apartment,Pharande Puneville Phase III Cluster A,Tathawade,1.1,Cr,"9,446 / sq ft",Under Construction,Possession by May 2028,3 BHK Property for Sale in Tathawade Pune
Subrato Raha,AGENT,BHK,Apartment,Pharande Puneville Phase III Cluster A,Tathawade,88.25,L,"9,359 / sq ft",Under Construction,Possession by May 2028,2 BHK Property for Sale in Tathawade Pune
